endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp2DropTailWithPolicingAndShaping-0-20250330-01:11:38-15176),
78.40090712,12.00165813
78.63815712,11.81988629
80.74790712,11.75539336
80.79965712,11.67038314
81.63240712,11.77665378
81.75740712,11.50793387
81.80915712,11.41968387
83.17690712,11.52584109
84.12590712,11.34713474
84.31140712,11.41263474
84.36315712,11.42438474
84.68240712,11.50490522
84.86790712,11.42338504
85.51515712,11.67491183
85.56690712,11.30666183
85.74365712,11.08957303
88.18140712,11.19850385
90.07540712,11.68647458
90.12715712,11.51822458
90.19765712,11.44872458
92.06140712,11.27908327
92.20790712,10.98558327
92.54865712,10.88633327
92.78590712,10.73447398
93.96815712,10.94996796
94.06290712,10.64471796
95.74115712,10.80286037
95.79290712,10.81461037
95.97840712,10.81478029
96.03015712,10.80653029
99.12790712,10.83363386
99.79665712,10.71175372
99.84840712,10.62350372
100.0466571,10.32175372
100.2019071,10.23700372
100.4909071,10.16600372
101.3236571,10.29490867
102.5616571,10.27984134
103.7439071,10.50154408
105.2581571,10.60959711
105.3099071,10.52134711
105.4651571,10.43659711
105.6506571,10.44209711
105.9699071,10.4363473
107.4109071,10.83841346
107.4626571,10.77016346
108.2436571,10.82360507
108.3686571,10.68860507
108.4204071,10.60035507
108.6059071,10.52585507
108.8431571,10.36310507
109.0804071,10.28035507
109.9131571,10.37413228
109.9649071,10.28588228
110.2451571,10.34613228
110.5644071,10.51971492
110.6349071,10.41021492
113.3831571,10.89933157
113.4349071,10.81108157
114.6171571,10.96081177
122.2926571,12.73340158
128.2509071,13.50249017
128.4706571,12.64224017
130.2094071,12.52282024
130.7141571,12.22524691
130.7659071,11.99699691
133.5241571,11.6422314
133.6276571,11.47811393
135.7159071,11.41864011
135.9229071,11.22025784
136.1084071,11.14575784
136.1601571,11.05750784
136.3456571,10.98300784
136.5829071,10.90025784
136.7381571,10.81550784
137.5709071,10.69952815
137.7994071,10.40771529
137.8511571,10.31946529
138.0064071,10.15471529
138.5844071,10.32683916
138.7699071,10.31233916
143.8524071,11.04853617
143.9041571,10.96028617
143.9559071,10.83203617
147.0536571,11.2052179
147.1054071,11.1569679
147.2001571,11.00829565
147.3554071,10.92354565
147.6961571,10.85526185
147.7479071,10.76701185
148.0671571,10.75515428
148.2224071,10.69040428
148.4079071,10.7682071
148.7789071,10.92135831
148.8306571,10.93310831
153.9621571,11.34477764
155.0839071,11.40131655
156.0631571,11.1761334
156.1881571,10.89961255
156.2399071,10.89136255
156.4254071,10.81686255
156.6626571,10.6511428
156.8999071,10.49187452
159.4196571,11.61723013
159.4714071,11.60898013
162.6396571,12.09591762
162.6914071,11.86766762
163.8044071,11.62538236
166.9324071,11.96753388
166.9841571,11.95928388
169.1974071,12.37465807
169.3829071,12.29766726
173.2401571,12.81115701
173.2919071,12.60290701
173.9304071,12.43425741
174.0554071,12.3967303
174.2926571,12.24338681
174.3961571,12.16688681
174.7066571,11.83738681
176.5274071,11.99309314
179.4396571,11.73369288
179.5256571,11.01969288
179.6809071,11.01494288
182.3041571,10.99648698
182.3559071,10.90823698
182.6146571,10.76945569
182.6664071,10.68120569
184.0859071,10.8758826
185.9674071,10.56720493
186.6146571,10.4864975
186.8129071,10.23218058
187.4601571,10.08555931
193.6694071,11.20683547
194.0921571,10.87033938
194.1566571,10.61483938
194.3421571,10.68033938
194.5794071,10.77758938
194.6311571,10.76933938
195.5459071,11.04633686
195.5976571,10.83808686
195.7744071,10.61483686
196.0116571,10.69208686
196.8961571,11.00486957
198.7384071,11.49197778
199.4589071,11.40531027
200.1189071,11.22013497
201.1371571,11.17081012
201.2621571,10.89679504
201.3139071,10.80854504
202.7764071,0.982422785
207.1639071,4.71729948
207.4941571,5.00754948
207.5674071,5.06079948
208.1821571,5.65554948
