endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20250330-01:17:59-13444),
55.49909976,21.15359914
55.55084976,21.06534914
55.65434976,20.98884914
55.70609976,20.90059914
55.75784976,20.55234914
56.07709976,20.5395078
56.12884976,20.5512578
56.31434976,20.4567578
56.36609976,20.3885078
56.55159976,20.2940078
56.60334976,20.2257578
58.63109976,20.59083662
58.68284976,20.50258662
58.86834976,20.42760799
58.92009976,20.33935799
59.50684976,20.24915223
59.55859976,20.18090223
62.30409976,21.09725249
62.35584976,21.08900249
62.40759976,21.10075249
62.45934976,21.01250249
62.51109976,20.92425249
62.56284976,20.93600249
62.61459976,20.92775249
62.66634976,20.91950249
62.71809976,20.93125249
63.70609976,21.08439419
63.75784976,21.09614419
63.94334976,21.10164419
64.26259976,21.15419793
64.31434976,21.16594793
64.36609976,21.09769793
64.41784976,21.00944793
64.46959976,20.92119793
65.05634976,20.84310623
65.37559976,20.75555223
65.42734976,20.76730223
65.61284976,20.85280223
65.66459976,20.84455223
65.71634976,20.85630223
65.90184976,20.92180223
65.95359976,20.93355223
66.13909976,20.91905223
66.19084976,20.85080223
66.91134976,21.08774257
66.96309976,21.09949257
67.14859976,21.08499257
67.20034976,21.01674257
67.38584976,20.93394321
70.93384976,21.51691905
72.32309976,21.44693636
72.37484976,21.35165942
72.42659976,21.28340942
72.47834976,21.19515942
72.53009976,21.10690942
73.38434976,21.52965558
73.56984976,21.59515558
73.62159976,21.60690558
73.80709976,21.51240558
73.85884976,21.44415558
74.44559976,21.43352558
74.49734976,21.44527558
74.54909976,21.35702558
74.60084976,21.34877558
74.65259976,21.28052558
74.70434976,21.19227558
74.88984976,21.27777558
74.94159976,21.26952558
74.99334976,21.28127558
75.04509976,21.27302558
76.30059976,21.44208081
76.48609976,21.52758081
82.44159976,22.28423217
82.89459976,22.28022482
83.08009976,22.20572482
83.13184976,22.11747482
83.31734976,22.01461463
83.36909976,21.94636463
83.55459976,21.95186463
83.60634976,21.94361463
83.65809976,21.95536463
84.64609976,22.03208214
86.70409976,22.7703095
88.27959976,23.1487101
88.33134976,23.0604601
88.38309976,22.9922101
88.43484976,22.9039601
88.48659976,22.8957101
88.53834976,22.8274601
88.59009976,22.8192101
88.90934976,22.73808669
88.96109976,22.66185078
89.28034976,22.70110078
89.33209976,22.63285078
89.65134976,22.67307894
91.46059976,23.15609054
92.31484976,23.34233601
92.50034976,23.39107579
93.22084976,23.16509642
94.87759976,23.16653373
94.92934976,23.09828373
95.24859976,16.85966722
95.56784976,17.15891722
96.02084976,17.57191722
96.92684976,18.37791722
97.16409976,18.59516722
97.53509976,18.90616722
97.98809976,19.31916722
98.30734976,19.61841722
98.76034976,20.01141722
99.26509976,20.49616722
99.45059976,20.66166722
99.95534976,21.14641722
100.6510998,21.80216722
100.8543498,21.96541722
101.7085998,22.73966722
101.7603498,12.59544637
101.9458498,12.72094637
102.1313498,12.88644637
102.4505998,13.14569637
102.6360998,13.29119637
102.8215998,13.45669637
103.0070998,13.60219637
103.1925998,13.74769637
103.3780998,13.87319637
103.5635998,14.03869637
103.7490998,14.18419637
103.9345998,14.30969637
104.1200998,14.45519637
104.4393498,14.71444637
104.6248498,14.83994637
104.8103498,15.00544637
104.8620998,15.03719637
