endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20250330-01:09:53-16808),
168.3605998,40.60890794
168.5675998,40.55590794
168.8868498,40.6292818
168.9385998,40.6410318
169.1973498,37.19624496
169.3525998,36.40872881
172.5410998,39.41722881
172.5928498,39.40897881
172.7608498,36.2289883
173.9948498,36.9339545
174.2663498,30.8037592
175.9835998,30.6550552
181.8510998,35.83958545
181.9028498,35.73133545
183.7060998,33.00236027
183.7920998,27.40167451
185.0260998,28.28335072
185.3278498,25.07884965
187.8690998,26.17042294
187.9208498,25.67157946
188.0370998,25.26782946
193.8185998,30.72932946
193.8703498,29.37603579
195.6863498,27.58038553
195.8415998,27.57563553
198.8660998,30.24013553
198.9178498,30.19188553
199.1678498,27.48264834
203.1285998,31.04339834
203.2233498,30.9769257
203.5338498,30.12382525
203.8530998,30.30307525
203.9048498,30.31482525
204.0600998,30.31007525
207.3130998,31.87289757
207.3648498,31.55669015
207.4165998,31.54844015
207.5200998,31.47194015
210.7730998,29.41011436
210.8248498,29.40186436
210.8765998,29.41361436
211.0318498,29.40886436
216.8348498,33.51303203
216.8865998,33.34478203
216.9725998,32.39302951
217.7535998,33.05402951
217.9215998,32.70202951
222.2015998,34.83517043
222.2533498,33.03457761
222.3998498,31.97448768
228.1510998,34.80875923
228.2028498,34.82050923
228.2545998,34.55225923
231.8785998,35.33695541
231.9303498,34.98870541
232.1688498,33.75022109
232.3240998,33.62547109
232.4793498,31.41140679
232.6863498,30.01525626
234.4680998,31.39700626
234.6750998,31.20949886
235.9910998,32.34549886
236.2108498,29.42002968
240.4390998,32.34105356
240.5485998,31.63802721
240.7038498,30.59436853
241.5883498,31.07886853
241.6400998,29.81457158
241.6918498,29.58632158
241.9935998,25.88722443
242.1488498,25.80247443
242.3040998,25.79772443
242.5110998,25.33703928
245.1645998,27.40521547
245.2163498,25.5299929
245.2680998,24.64072677
245.3843498,23.81391127
249.3793498,21.37446029
252.4858498,24.38096029
252.5375998,24.36604809
252.7358498,22.11398909
252.8910998,21.45923378
253.8058498,22.35398378
253.8575998,22.36573378
254.0255998,22.17373378
258.4090998,26.45723378
258.4608498,26.44898378
258.5125998,26.44073378
258.6678498,26.45598378
